Date,Time,Complaint Type,Location,Latitude,Longitude,Has_Complaint
2023-04-17,22:53:00,No Complaints,Sector B,30.023042250874457,31.455212085020513,0
2023-11-13,14:04:00,No Complaints,Sector E,30.03472691067083,31.470614659283136,0
2023-05-31,06:18:00,Cleaning,Sector B,30.02263264052212,31.455072455122547,1
2023-08-08,20:55:00,No Complaints,Sector B,30.023544969598362,31.45495867761321,0
2023-11-04,23:27:00,No Complaints,Sector D,30.03091480368979,31.464522048760536,0
2023-04-04,09:01:00,Cleaning,Sector B,30.02295935676812,31.45475188481142,1
2023-03-30,20:14:00,No Complaints,Sector D,30.030453058604945,31.465328553396237,0
2023-11-14,08:16:00,No Complaints,Sector D,30.031439789665693,31.46550224725037,0
2023-05-19,06:31:00,Cleaning,Sector E,30.03478643011528,31.46983795815541,1
2023-01-28,08:23:00,No Complaints,Sector C,30.02706161097902,31.46050318717767,0
2023-04-15,09:37:00,No Complaints,Sector E,30.034978754196665,31.469722354181275,0
2023-10-04,23:57:00,No Complaints,Sector B,30.022656790897564,31.454439243786602,0
2023-05-18,22:08:00,No Complaints,Sector D,30.031170269867623,31.464995727027233,0
2023-07-27,09:27:00,No Complaints,Sector B,30.023276816328778,31.454683461744544,0
2023-02-19,11:36:00,No Complaints,Sector E,30.035417645463525,31.47042444753031,0
2023-11-27,12:54:00,No Complaints,Sector D,30.03093528911008,31.465176274848154,0
2023-06-22,15:13:00,Pets Control,Sector D,30.031350247739777,31.46503675758334,1
2023-03-24,16:47:00,No Complaints,Sector D,30.031535833948183,31.464685965131302,0
2023-01-23,20:54:00,No Complaints,Sector B,30.02259369379041,31.4553395489846,0
2023-07-05,07:25:00,No Complaints,Sector A,30.02087829963087,31.449542055397767,0
2023-09-16,21:34:00,No Complaints,Sector D,30.030955271032834,31.46515242206987,0
2023-01-17,14:57:00,No Complaints,Sector C,30.02673566393452,31.460103053013302,0
2023-11-19,15:14:00,No Complaints,Sector C,30.026717352547507,31.459460425690335,0
2023-07-13,10:50:00,No Complaints,Sector D,30.031434510419455,31.464959576813325,0
2023-07-07,04:15:00,No Complaints,Sector D,30.031247725556312,31.465333483945198,0
2023-02-11,13:41:00,Roads Issues,Sector C,30.026978169508467,31.460458304096022,1
2023-09-02,20:36:00,No Complaints,Sector C,30.027370550849135,31.45982255541169,0
2023-10-06,16:23:00,Noise,Sector B,30.02332968938202,31.454589928966296,1
2023-06-22,23:56:00,No Complaints,Sector D,30.030736137277493,31.46512246608437,0
2023-11-16,05:48:00,No Complaints,Sector D,30.030637557714012,31.465614090882568,0
2023-08-21,19:52:00,No Complaints,Sector A,30.020947431571404,31.4504503639063,0
2023-06-12,13:05:00,No Complaints,Sector D,30.031049160499453,31.464808071009323,0
2023-04-21,12:18:00,No Complaints,Sector E,30.03560661301273,31.46980136684093,0
2023-06-03,00:10:00,No Complaints,Sector B,30.02261654035075,31.455233357267733,0
2023-11-01,02:11:00,No Complaints,Sector C,30.0266589530861,31.459786641220067,0
2023-01-02,22:16:00,No Complaints,Sector D,30.03075611346593,31.46475079347544,0
2023-11-01,07:22:00,Cleaning,Sector E,30.03513904340752,31.469690659149897,1
2023-01-27,11:16:00,No Complaints,Sector A,30.020387654778915,31.45013119301554,0
2023-06-28,08:42:00,No Complaints,Sector C,30.026680747442953,31.459649431093453,0
2023-11-28,07:24:00,No Complaints,Sector A,30.021354179141436,31.450237160910095,0
2023-05-28,19:35:00,No Complaints,Sector B,30.02252539296418,31.454403231734045,0
2023-07-27,23:00:00,No Complaints,Sector D,30.030401098724667,31.465423900658312,0
2023-09-27,16:59:00,No Complaints,Sector B,30.022981242323397,31.455450054018453,0
2023-09-04,21:30:00,Security,Sector D,30.031338256484318,31.465090530640573,1
2023-12-19,09:07:00,Traffic,Sector A,30.02075801450469,31.449680196726867,1
2023-08-05,06:32:00,No Complaints,Sector D,30.030745105138028,31.464791297337097,0
2023-05-11,03:31:00,No Complaints,Sector D,30.03099099671425,31.46438836249053,0
2023-08-30,01:41:00,Security,Sector E,30.0353154035261,31.469789746401922,1
2023-07-17,16:01:00,No Complaints,Sector B,30.02349482246349,31.454965801700098,0
2023-05-15,15:02:00,No Complaints,Sector D,30.030915603199066,31.465066782165124,0
2023-05-15,16:23:00,No Complaints,Sector D,30.031250313979527,31.465301339216563,0
2023-08-30,20:23:00,No Complaints,Sector C,30.02752503925134,31.460579550130674,0
2023-08-31,16:57:00,No Complaints,Sector C,30.026560444324065,31.45978400700791,0
2023-05-28,22:39:00,No Complaints,Sector B,30.022398858811414,31.454775385308093,0
2023-03-30,15:32:00,No Complaints,Sector D,30.03095165678163,31.46458001560223,0
2023-05-29,17:07:00,No Complaints,Sector C,30.027460373795797,31.460165659928286,0
2023-05-03,08:19:00,No Complaints,Sector A,30.02134494013833,31.449489279963494,0
2023-11-20,12:27:00,No Complaints,Sector E,30.03536350258235,31.470487746287162,0
2023-02-13,20:31:00,No Complaints,Sector C,30.027541218868265,31.460003879606443,0
2023-10-26,18:32:00,No Complaints,Sector D,30.031005517361745,31.46472055335117,0
2023-11-25,10:55:00,No Complaints,Sector B,30.02248987947816,31.454598847385277,0
2023-09-30,21:17:00,No Complaints,Sector D,30.030590439535317,31.4655002298797,0
2023-02-01,15:08:00,Pets Control,Sector A,30.02093206784431,31.45014062302113,1
2023-06-26,19:29:00,Traffic,Sector A,30.021121279272265,31.450111689273918,1
2023-07-31,20:29:00,No Complaints,Sector C,30.026995690776037,31.46021123254381,0
2023-05-26,19:06:00,Pets Control,Sector E,30.034639345128486,31.469625071059554,1
2023-12-19,12:55:00,Roads Issues,Sector A,30.020865297515986,31.44960996479803,1
2023-05-14,11:35:00,Pets Control,Sector E,30.034574533792785,31.46952656854089,1
2023-12-13,12:14:00,No Complaints,Sector C,30.027156695159327,31.460104204479,0
2023-07-27,17:24:00,No Complaints,Sector C,30.02640038692519,31.460074424169807,0
2023-10-05,06:13:00,No Complaints,Sector A,30.02071876941073,31.44995342190635,0
2023-08-14,00:12:00,No Complaints,Sector C,30.026855022734612,31.46020642035557,0
2023-06-17,13:59:00,Roads Issues,Sector D,30.03057384084799,31.46543884230354,1
2023-12-20,12:31:00,No Complaints,Sector C,30.027365281480588,31.460065361547738,0
2023-03-31,00:08:00,No Complaints,Sector C,30.027382430204163,31.459872936415398,0
2023-08-16,17:22:00,No Complaints,Sector D,30.03064424575736,31.46447439909791,0
2023-10-21,02:06:00,No Complaints,Sector D,30.03152168543664,31.464582017095182,0
2023-10-16,10:22:00,No Complaints,Sector C,30.02757654962427,31.46060285406264,0
2023-07-08,09:50:00,No Complaints,Sector A,30.02096496885496,31.449458547185927,0
2023-10-16,00:36:00,No Complaints,Sector D,30.031494000343294,31.46534462887427,0
2023-04-19,15:59:00,Noise,Sector C,30.02747871771496,31.460181654203645,1
2023-07-10,16:19:00,No Complaints,Sector A,30.020955325784477,31.44962465804098,0
